Number,Steps,Cache Method,Time (ms),Cache Hit Rate (%)
5032,41,MRU,0.08,8.50%
1623,135,MRU,0.08,8.50%
5714,173,MRU,0.08,8.50%
9406,60,MRU,0.08,8.49%
8830,171,MRU,0.00,8.54%
4803,165,MRU,0.08,8.53%
338,50,MRU,0.08,8.53%
108,113,MRU,0.08,8.52%
2147,24,MRU,0.08,8.52%
8942,47,MRU,0.08,8.52%
6567,75,MRU,0.08,8.51%
10763,73,MRU,0.00,8.55%
9244,153,MRU,0.00,8.60%
3870,144,MRU,0.08,8.59%
7998,189,MRU,0.08,8.59%
8724,47,MRU,0.09,8.58%
12368,125,MRU,0.08,8.58%
9894,122,MRU,0.08,8.58%
12001,143,MRU,0.09,8.57%
4180,33,MRU,0.08,8.57%
10383,73,MRU,0.09,8.56%
11652,112,MRU,0.08,8.56%
12637,125,MRU,0.08,8.56%
3160,79,MRU,0.08,8.55%
8436,83,MRU,0.00,8.60%
561,43,MRU,0.08,8.59%
3255,74,MRU,0.09,8.59%
7726,145,MRU,0.00,8.63%
6318,124,MRU,0.09,8.63%
1522,34,MRU,0.09,8.62%
9820,135,MRU,0.09,8.62%
6710,93,MRU,0.09,8.61%
7588,70,MRU,0.09,8.61%
8576,34,MRU,0.08,8.61%
1273,31,MRU,0.00,8.65%
3582,100,MRU,0.00,8.69%
7909,145,MRU,0.08,8.69%
3174,79,MRU,0.08,8.68%
6455,106,MRU,0.08,8.68%
2116,32,MRU,0.00,8.72%
5590,67,MRU,0.08,8.72%
7755,52,MRU,0.00,8.76%
1410,34,MRU,0.08,8.75%
5583,67,MRU,0.08,8.75%
8468,34,MRU,0.08,8.75%
6223,36,MRU,0.00,8.79%
6253,155,MRU,0.08,8.78%
831,134,MRU,0.08,8.78%
9833,47,MRU,0.08,8.78%
3389,35,MRU,0.08,8.77%
7166,101,MRU,0.00,8.81%
9648,73,MRU,0.00,8.85%
5730,28,MRU,0.08,8.85%
3927,82,MRU,0.08,8.85%
4594,59,MRU,0.08,8.84%
3776,38,MRU,0.08,8.84%
3964,100,MRU,0.00,8.88%
1993,50,MRU,0.08,8.88%
12114,187,MRU,0.08,8.87%
1846,68,MRU,0.08,8.87%
9588,122,MRU,0.08,8.86%
10903,55,MRU,0.08,8.86%
4542,64,MRU,0.08,8.86%
6869,106,MRU,0.08,8.85%
3362,43,MRU,0.00,8.89%
4465,46,MRU,0.08,8.89%
12963,169,MRU,0.08,8.88%
12486,63,MRU,0.08,8.88%
5344,72,MRU,0.08,8.88%
3472,30,MRU,0.08,8.87%
3598,69,MRU,0.08,8.87%
10405,179,MRU,0.08,8.86%
4330,46,MRU,0.00,8.91%
12723,107,MRU,0.08,8.90%
7198,70,MRU,0.08,8.90%
4362,46,MRU,0.08,8.89%
6213,124,MRU,0.08,8.89%
4741,152,MRU,0.08,8.89%
4412,46,MRU,0.00,8.93%
10232,135,MRU,0.08,8.92%
4615,90,MRU,0.08,8.92%
7779,39,MRU,0.08,8.91%
11745,81,MRU,0.08,8.91%
2072,125,MRU,0.00,8.95%
3707,131,MRU,0.08,8.95%
7265,163,MRU,0.08,8.94%
2042,50,MRU,0.08,8.94%
6028,23,MRU,0.08,8.94%
1741,29,MRU,0.08,8.93%
10792,117,MRU,0.08,8.93%
2018,112,MRU,0.08,8.92%
2461,71,MRU,0.08,8.92%
10175,179,MRU,0.08,8.92%
3895,82,MRU,0.08,8.91%
10924,117,MRU,0.00,8.95%
3228,74,MRU,0.08,8.95%
11241,99,MRU,0.00,8.99%
1547,34,MRU,0.08,8.99%
6173,111,MRU,0.08,8.98%
10414,104,MRU,0.08,8.98%
2010,68,MRU,0.08,8.97%
7751,176,MRU,0.08,8.97%
12669,169,MRU,0.08,8.97%
12500,125,MRU,0.08,8.96%
1532,47,MRU,0.00,9.00%
3106,123,MRU,0.08,9.00%
10859,42,MRU,0.08,8.99%
5664,36,MRU,0.08,8.99%
1389,127,MRU,0.08,8.99%
10043,42,MRU,0.08,8.98%
8289,114,MRU,0.08,8.98%
6943,256,MRU,0.00,9.02%
2457,133,MRU,0.08,9.01%
6604,137,MRU,0.08,9.01%
8004,52,MRU,0.08,9.01%
425,58,MRU,0.08,9.00%
6490,137,MRU,0.00,9.04%
133,28,MRU,0.08,9.04%
5355,98,MRU,0.08,9.03%
1172,119,MRU,0.08,9.03%
5700,28,MRU,0.08,9.03%
4345,51,MRU,0.08,9.02%
1186,75,MRU,0.08,9.02%
12702,200,MRU,0.08,9.01%
5643,85,MRU,0.08,9.01%
6541,44,MRU,0.00,9.05%
7260,57,MRU,0.08,9.05%
4946,121,MRU,0.08,9.04%
10499,130,MRU,0.08,9.04%
3378,35,MRU,0.00,9.08%
5141,28,MRU,0.00,9.12%
6940,106,MRU,0.08,9.11%
2200,94,MRU,0.08,9.11%
815,134,MRU,0.00,9.15%
10305,148,MRU,0.08,9.15%
12531,86,MRU,0.08,9.14%
6166,36,MRU,0.08,9.14%
5835,80,MRU,0.08,9.13%
5313,54,MRU,0.08,9.13%
12653,55,MRU,0.00,9.17%
9154,153,MRU,0.00,9.21%
11326,86,MRU,0.08,9.21%
7507,163,MRU,0.08,9.20%
11741,143,MRU,0.00,9.24%
5656,129,MRU,0.08,9.24%
10692,117,MRU,0.09,9.23%
12564,125,MRU,0.08,9.23%
5474,41,MRU,0.08,9.23%
5183,54,MRU,0.08,9.22%
10055,91,MRU,0.08,9.22%
5819,142,MRU,0.08,9.21%
7642,31,MRU,0.08,9.21%
1115,93,MRU,0.08,9.21%
11869,143,MRU,0.08,9.20%
281,42,MRU,0.08,9.20%
2216,19,MRU,0.08,9.19%
9818,135,MRU,0.00,9.23%
5213,103,MRU,0.08,9.23%
1421,34,MRU,0.08,9.23%
8973,47,MRU,0.08,9.22%
536,30,MRU,0.08,9.22%
11467,68,MRU,0.00,9.26%
4043,25,MRU,0.08,9.25%
1040,31,MRU,0.08,9.25%
9654,104,MRU,0.00,9.29%
2109,81,MRU,0.08,9.28%
5087,178,MRU,0.00,9.32%
5496,41,MRU,0.00,9.36%
777,33,MRU,0.08,9.36%
6867,150,MRU,0.00,9.40%
5213,103,MRU,0.00,9.44%
2891,48,MRU,0.00,9.48%
11507,130,MRU,0.08,9.47%
8224,127,MRU,0.08,9.47%
1063,75,MRU,0.00,9.51%
327,143,MRU,0.08,9.50%
10053,135,MRU,0.08,9.50%
10621,55,MRU,0.08,9.50%
6149,155,MRU,0.08,9.49%
4338,77,MRU,0.08,9.49%
5345,160,MRU,0.00,9.53%
7047,106,MRU,0.08,9.52%
7913,101,MRU,0.08,9.52%
9776,42,MRU,0.08,9.51%
12535,63,MRU,0.08,9.51%
3398,61,MRU,0.08,9.51%
12420,156,MRU,0.00,9.54%
4258,126,MRU,0.08,9.54%
3977,144,MRU,0.08,9.54%
3782,38,MRU,0.08,9.53%
11783,81,MRU,0.08,9.53%
2628,53,MRU,0.08,9.52%
287,42,MRU,0.08,9.52%
12127,143,MRU,0.08,9.52%
11494,174,MRU,0.08,9.51%
4716,59,MRU,0.08,9.51%
10652,86,MRU,0.08,9.50%
9559,78,MRU,0.08,9.50%
694,126,MRU,0.08,9.50%
11790,81,MRU,0.00,9.53%
4390,139,MRU,0.08,9.53%
11401,81,MRU,0.08,9.53%
9743,47,MRU,0.00,9.56%
7375,44,MRU,0.08,9.56%
1657,73,MRU,0.08,9.56%
12539,138,MRU,0.08,9.55%
9546,104,MRU,0.00,9.59%
12041,187,MRU,0.08,9.59%
2179,45,MRU,0.08,9.58%
7273,132,MRU,0.08,9.58%
9145,65,MRU,0.08,9.57%
8407,65,MRU,0.08,9.57%
11075,68,MRU,0.08,9.57%
12870,76,MRU,0.08,9.56%
4486,46,MRU,0.08,9.56%
6684,44,MRU,0.00,9.60%
10688,73,MRU,0.09,9.59%
4578,108,MRU,0.09,9.59%
477,35,MRU,0.00,9.63%
1995,50,MRU,0.09,9.62%
1830,130,MRU,0.09,9.62%
485,97,MRU,0.09,9.61%
5092,33,MRU,0.00,9.65%
12620,94,MRU,0.00,9.69%
577,30,MRU,0.09,9.69%
1776,73,MRU,0.09,9.68%
2864,35,MRU,0.09,9.68%
8502,83,MRU,0.09,9.67%
9342,91,MRU,0.00,9.71%
10177,34,MRU,0.09,9.71%
1478,21,MRU,0.09,9.70%
9110,60,MRU,0.09,9.70%
399,120,MRU,0.09,9.70%
12421,156,MRU,0.09,9.69%
5632,23,MRU,0.09,9.69%
12485,63,MRU,0.09,9.68%
11323,112,MRU,0.09,9.68%
11891,50,MRU,0.09,9.68%
1481,34,MRU,0.09,9.67%
2971,48,MRU,0.09,9.67%
8559,78,MRU,0.09,9.66%
6082,155,MRU,0.00,9.70%
6489,49,MRU,0.09,9.70%
9394,109,MRU,0.09,9.69%
9192,47,MRU,0.09,9.69%
1722,104,MRU,0.09,9.69%
12178,63,MRU,0.09,9.68%
459,128,MRU,0.09,9.68%
9380,153,MRU,0.09,9.67%
12828,50,MRU,0.09,9.67%
5937,142,MRU,0.09,9.67%
12700,200,MRU,0.09,9.66%
3786,38,MRU,0.09,9.66%
8094,158,MRU,0.09,9.65%
2319,58,MRU,0.00,9.69%
6772,36,MRU,0.09,9.69%
10141,86,MRU,0.09,9.68%
2585,53,MRU,0.09,9.68%
69,14,MRU,0.00,9.72%
5753,129,MRU,0.09,9.71%
4474,90,MRU,0.09,9.71%
11474,112,MRU,0.09,9.70%
233,83,MRU,0.00,9.74%
12009,81,MRU,0.09,9.74%
10472,148,MRU,0.09,9.73%
2434,133,MRU,0.09,9.73%
983,142,MRU,0.09,9.73%
3448,43,MRU,0.09,9.72%
7929,145,MRU,0.09,9.72%
3686,131,MRU,0.09,9.71%
4534,90,MRU,0.09,9.71%
3249,136,MRU,0.00,9.75%
1851,130,MRU,0.09,9.74%
9194,47,MRU,0.09,9.74%
7828,52,MRU,0.09,9.73%
5780,49,MRU,0.09,9.73%
7148,49,MRU,0.09,9.73%
8237,39,MRU,0.09,9.72%
772,121,MRU,0.09,9.72%
2791,66,MRU,0.09,9.71%
2356,120,MRU,0.09,9.71%
10285,55,MRU,0.09,9.71%
11803,81,MRU,0.09,9.70%
10917,161,MRU,0.09,9.70%
7442,70,MRU,0.00,9.74%
3609,43,MRU,0.09,9.73%
10144,42,MRU,0.09,9.73%
12651,63,MRU,0.09,9.72%
5692,67,MRU,0.00,9.76%
4254,77,MRU,0.09,9.76%
2893,48,MRU,0.09,9.75%
9768,42,MRU,0.09,9.75%
10687,99,MRU,0.09,9.75%
9371,184,MRU,0.09,9.74%
7485,132,MRU,0.09,9.74%
3333,30,MRU,0.09,9.73%
9017,39,MRU,0.09,9.73%
9302,34,MRU,0.09,9.73%
1332,114,MRU,0.09,9.72%
4141,126,MRU,0.09,9.72%
3803,82,MRU,0.09,9.71%
1963,81,MRU,0.09,9.71%
11985,81,MRU,0.09,9.71%
474,35,MRU,0.00,9.74%
4660,121,MRU,0.00,9.78%
8995,47,MRU,0.09,9.78%
1537,153,MRU,0.09,9.77%
9702,166,MRU,0.09,9.77%
11690,99,MRU,0.09,9.76%
12337,112,MRU,0.09,9.76%
1335,145,MRU,0.09,9.76%
1942,37,MRU,0.09,9.75%
9846,73,MRU,0.09,9.75%
7918,145,MRU,0.09,9.74%
4467,139,MRU,0.09,9.74%
5223,59,MRU,0.00,9.78%
4712,121,MRU,0.09,9.77%
6071,155,MRU,0.00,9.81%
9981,73,MRU,0.00,9.85%
8732,140,MRU,0.09,9.84%
10652,86,MRU,0.00,9.88%
6862,119,MRU,0.09,9.87%
6809,181,MRU,0.09,9.87%
995,23,MRU,0.09,9.87%
5232,147,MRU,0.09,9.86%
6204,155,MRU,0.00,9.90%
8902,140,MRU,0.09,9.89%
5338,147,MRU,0.09,9.89%
1014,36,MRU,0.00,9.93%
2006,42,MRU,0.09,9.92%
6307,62,MRU,0.09,9.92%
5878,80,MRU,0.09,9.92%
1308,145,MRU,0.09,9.91%
2121,107,MRU,0.09,9.91%
9098,21,MRU,0.09,9.90%
387,120,MRU,0.09,9.90%
10723,73,MRU,0.09,9.89%
67,27,MRU,0.09,9.89%
9366,60,MRU,0.09,9.89%
4548,20,MRU,0.09,9.88%
6823,119,MRU,0.09,9.88%
1727,55,MRU,0.00,9.92%
1810,68,MRU,0.09,9.91%
12122,143,MRU,0.09,9.91%
8666,140,MRU,0.09,9.90%
12441,138,MRU,0.09,9.90%
2667,45,MRU,0.09,9.90%
5148,147,MRU,0.09,9.89%
11871,99,MRU,0.09,9.89%
4402,139,MRU,0.00,9.92%
4731,59,MRU,0.09,9.92%
10858,55,MRU,0.09,9.92%
3508,56,MRU,0.09,9.91%
4796,72,MRU,0.00,9.95%
6980,150,MRU,0.09,9.94%
11449,130,MRU,0.09,9.94%
11576,55,MRU,0.09,9.94%
11879,73,MRU,0.09,9.93%
4833,72,MRU,0.09,9.93%
560,17,MRU,0.09,9.92%
10645,55,MRU,0.09,9.92%
7012,57,MRU,0.09,9.92%
5038,85,MRU,0.09,9.91%
6795,36,MRU,0.09,9.91%
6869,106,MRU,0.00,9.94%
5359,191,MRU,0.09,9.94%
12388,187,MRU,0.09,9.94%
7816,101,MRU,0.09,9.93%
7963,251,MRU,0.09,9.93%
6023,41,MRU,0.09,9.92%
7644,31,MRU,0.00,9.96%
6804,62,MRU,0.09,9.96%
3724,38,MRU,0.09,9.95%
10369,86,MRU,0.09,9.95%
11789,99,MRU,0.09,9.94%
11654,112,MRU,0.09,9.94%
465,35,MRU,0.09,9.94%
10035,42,MRU,0.00,9.97%
9012,47,MRU,0.09,9.97%
3482,30,MRU,0.09,9.96%
12457,63,MRU,0.09,9.96%
3940,25,MRU,0.09,9.96%
4494,77,MRU,0.09,9.95%
8014,44,MRU,0.09,9.95%
8895,70,MRU,0.00,9.98%
68,14,MRU,0.08,9.98%
757,108,MRU,0.08,9.98%
8236,39,MRU,0.08,9.97%
2790,128,MRU,0.08,9.97%
1736,29,MRU,0.08,9.96%
8118,65,MRU,0.00,10.00%
926,129,MRU,0.08,10.00%
2885,48,MRU,0.00,10.03%
11617,143,MRU,0.08,10.03%
12024,143,MRU,0.08,10.02%
4004,144,MRU,0.08,10.02%
3072,17,MRU,0.08,10.02%
9931,117,MRU,0.08,10.01%
7774,52,MRU,0.08,10.01%
1704,16,MRU,0.08,10.00%
10122,42,MRU,0.00,10.04%
2782,115,MRU,0.08,10.04%
1221,39,MRU,0.08,10.03%
2930,35,MRU,0.08,10.03%
16,4,MRU,0.08,10.02%
1128,18,MRU,0.00,10.06%
1943,37,MRU,0.08,10.05%
10261,55,MRU,0.08,10.05%
12881,125,MRU,0.08,10.05%
7334,44,MRU,0.08,10.04%
1689,34,MRU,0.08,10.04%
7186,31,MRU,0.00,10.07%
7447,132,MRU,0.08,10.07%
5843,80,MRU,0.00,10.11%
6778,36,MRU,0.08,10.10%
12141,156,MRU,0.08,10.10%
5317,54,MRU,0.08,10.09%
4192,33,MRU,0.00,10.13%
11136,37,MRU,0.08,10.13%
9275,153,MRU,0.08,10.12%
10297,55,MRU,0.00,10.16%
11616,50,MRU,0.08,10.15%
5812,49,MRU,0.08,10.15%
10931,161,MRU,0.08,10.14%
7805,176,MRU,0.08,10.14%
10194,179,MRU,0.08,10.14%
8225,114,MRU,0.08,10.13%
165,111,MRU,0.00,10.17%
10299,60,MRU,0.08,10.16%
2713,159,MRU,0.00,10.20%
5638,85,MRU,0.08,10.19%
2061,125,MRU,0.00,10.23%
5349,46,MRU,0.00,10.26%
1554,34,MRU,0.08,10.26%
343,125,MRU,0.08,10.26%
8235,114,MRU,0.08,10.25%
7230,70,MRU,0.08,10.25%
8665,140,MRU,0.08,10.24%
2009,24,MRU,0.08,10.24%
9862,73,MRU,0.08,10.24%
3428,30,MRU,0.08,10.23%
7171,75,MRU,0.08,10.23%
480,22,MRU,0.08,10.22%
6684,44,MRU,0.00,10.26%
6866,150,MRU,0.08,10.26%
2,1,MRU,0.00,10.29%
97,118,MRU,0.08,10.29%
9323,60,MRU,0.08,10.28%
4090,64,MRU,0.08,10.28%
9277,60,MRU,0.08,10.27%
6063,142,MRU,0.09,10.27%
4628,33,MRU,0.08,10.27%
4609,46,MRU,0.08,10.26%
10535,192,MRU,0.08,10.26%
8415,109,MRU,0.08,10.25%
12670,156,MRU,0.08,10.25%
5662,36,MRU,0.00,10.29%
4754,51,MRU,0.08,10.28%
1563,153,MRU,0.08,10.28%
12546,63,MRU,0.08,10.27%
4632,33,MRU,0.08,10.27%
9781,42,MRU,0.08,10.27%
10990,68,MRU,0.08,10.26%
12903,125,MRU,0.08,10.26%
5044,41,MRU,0.09,10.25%
1358,65,MRU,0.08,10.25%
1471,171,MRU,0.08,10.25%
1913,81,MRU,0.08,10.24%
8738,47,MRU,0.08,10.24%
10339,55,MRU,0.08,10.23%
9082,65,MRU,0.08,10.23%
2908,48,MRU,0.00,10.26%
8510,202,MRU,0.08,10.26%
11427,174,MRU,0.08,10.26%
7259,163,MRU,0.08,10.25%
4815,72,MRU,0.08,10.25%
1932,24,MRU,0.00,10.28%
11409,81,MRU,0.08,10.28%
12692,81,MRU,0.08,10.28%
8937,96,MRU,0.08,10.27%
9333,34,MRU,0.08,10.27%
11045,130,MRU,0.08,10.26%
8834,96,MRU,0.08,10.26%
8072,114,MRU,0.08,10.26%
5205,28,MRU,0.08,10.25%
12471,187,MRU,0.08,10.25%
1542,34,MRU,0.08,10.24%
8706,140,MRU,0.08,10.24%
8292,39,MRU,0.08,10.24%
11896,99,MRU,0.08,10.23%
5705,80,MRU,0.08,10.23%
2056,125,MRU,0.08,10.22%
6581,137,MRU,0.08,10.22%
3964,100,MRU,0.00,10.25%
8399,65,MRU,0.08,10.25%
1262,39,MRU,0.08,10.25%
9803,135,MRU,0.08,10.24%
3099,136,MRU,0.00,10.28%
10727,99,MRU,0.08,10.27%
12738,107,MRU,0.08,10.27%
2469,133,MRU,0.08,10.27%
550,92,MRU,0.08,10.26%
11519,112,MRU,0.08,10.26%
12993,138,MRU,0.08,10.25%
7847,127,MRU,0.08,10.25%
7664,57,MRU,0.08,10.25%
10752,16,MRU,0.00,10.28%
3203,61,MRU,0.08,10.28%
6145,49,MRU,0.08,10.27%
5923,36,MRU,0.08,10.27%
11240,86,MRU,0.08,10.26%
803,20,MRU,0.08,10.26%
6357,31,MRU,0.08,10.26%
8588,26,MRU,0.08,10.25%
6015,155,MRU,0.00,10.29%
5619,160,MRU,0.00,10.32%
2346,120,MRU,0.08,10.32%
1712,104,MRU,0.00,10.35%
10691,161,MRU,0.00,10.38%
1679,86,MRU,0.08,10.38%
6888,106,MRU,0.08,10.38%
3043,110,MRU,0.08,10.37%
12298,156,MRU,0.08,10.37%
4167,113,MRU,0.08,10.36%
8321,52,MRU,0.08,10.36%
9953,73,MRU,0.08,10.36%
3260,136,MRU,0.08,10.35%
2931,35,MRU,0.08,10.35%
7573,39,MRU,0.08,10.34%
2563,53,MRU,0.08,10.34%
3885,38,MRU,0.08,10.34%
4181,33,MRU,0.00,10.37%
5203,178,MRU,0.08,10.37%
2431,164,MRU,0.08,10.36%
12532,125,MRU,0.08,10.36%
86,30,MRU,0.08,10.36%
829,90,MRU,0.08,10.35%
10973,117,MRU,0.08,10.35%
147,116,MRU,0.08,10.34%
3556,149,MRU,0.00,10.38%
706,126,MRU,0.08,10.37%
9968,135,MRU,0.00,10.41%
513,35,MRU,0.08,10.40%
7719,52,MRU,0.08,10.40%
10431,86,MRU,0.08,10.39%
1413,127,MRU,0.09,10.39%
4403,139,MRU,0.08,10.39%
9784,135,MRU,0.08,10.38%
2216,19,MRU,0.00,10.42%
6292,62,MRU,0.08,10.41%
3059,61,MRU,0.08,10.41%
2810,84,MRU,0.00,10.44%
4462,95,MRU,0.08,10.44%
10177,34,MRU,0.00,10.47%
12628,32,MRU,0.08,10.47%
12025,42,MRU,0.08,10.46%
4285,170,MRU,0.08,10.46%
387,120,MRU,0.00,10.49%
11006,174,MRU,0.08,10.49%
9206,122,MRU,0.08,10.49%
3974,95,MRU,0.08,10.48%
11898,99,MRU,0.08,10.48%
12045,42,MRU,0.08,10.47%
539,48,MRU,0.08,10.47%
3129,110,MRU,0.08,10.47%
9360,60,MRU,0.08,10.46%
7530,132,MRU,0.08,10.46%
4715,103,MRU,0.08,10.45%
11864,143,MRU,0.08,10.45%
7500,176,MRU,0.08,10.45%
5537,67,MRU,0.08,10.44%
1759,148,MRU,0.08,10.44%
9505,122,MRU,0.00,10.47%
6037,67,MRU,0.08,10.47%
7270,70,MRU,0.08,10.46%
599,118,MRU,0.08,10.46%
12550,37,MRU,0.08,10.46%
9651,60,MRU,0.08,10.45%
3020,66,MRU,0.08,10.45%
5102,85,MRU,0.08,10.45%
10723,73,MRU,0.00,10.48%
5996,49,MRU,0.08,10.47%
2450,133,MRU,0.08,10.47%
12338,112,MRU,0.08,10.47%
548,92,MRU,0.08,10.46%
5026,134,MRU,0.08,10.46%
11698,143,MRU,0.08,10.45%
8467,202,MRU,0.08,10.45%
617,131,MRU,0.08,10.45%
530,123,MRU,0.08,10.44%
4259,126,MRU,0.00,10.48%
8340,127,MRU,0.00,10.51%
12733,63,MRU,0.08,10.51%
1478,21,MRU,0.00,10.54%
9984,42,MRU,0.00,10.57%
8525,78,MRU,0.08,10.57%
7977,52,MRU,0.08,10.56%
6247,186,MRU,0.08,10.56%
5627,59,MRU,0.08,10.56%
1469,47,MRU,0.00,10.59%
7810,101,MRU,0.00,10.62%
1842,130,MRU,0.08,10.62%
5165,54,MRU,0.08,10.61%
2738,40,MRU,0.08,10.61%
3389,35,MRU,0.00,10.64%
8776,140,MRU,0.00,10.67%
3208,22,MRU,0.08,10.67%
200,26,MRU,0.08,10.67%
12021,143,MRU,0.08,10.66%
2773,35,MRU,0.09,10.66%
5827,111,MRU,0.08,10.65%
10509,29,MRU,0.00,10.69%
8345,114,MRU,0.00,10.72%
5471,160,MRU,0.08,10.72%
5114,134,MRU,0.08,10.71%
346,32,MRU,0.08,10.71%
6129,49,MRU,0.08,10.70%
7398,70,MRU,0.08,10.70%
1111,31,MRU,0.08,10.70%
932,85,MRU,0.08,10.69%
6163,155,MRU,0.08,10.69%
6903,57,MRU,0.00,10.72%
2461,71,MRU,0.00,10.75%
9808,42,MRU,0.00,10.79%
7513,88,MRU,0.08,10.78%
7099,57,MRU,0.08,10.78%
5632,23,MRU,0.00,10.81%
413,89,MRU,0.08,10.81%
5435,116,MRU,0.00,10.84%
7097,57,MRU,0.00,10.87%
4251,82,MRU,0.09,10.87%
566,61,MRU,0.09,10.86%
4496,46,MRU,0.08,10.86%
186,18,MRU,0.08,10.85%
7280,44,MRU,0.08,10.85%
963,49,MRU,0.08,10.85%
10886,68,MRU,0.08,10.84%
493,48,MRU,0.08,10.84%
4943,134,MRU,0.08,10.84%
4204,95,MRU,0.08,10.83%
4583,90,MRU,0.08,10.83%
7821,101,MRU,0.08,10.82%
7633,31,MRU,0.08,10.82%
7552,39,MRU,0.00,10.85%
149,23,MRU,0.08,10.85%
1092,31,MRU,0.08,10.84%
4904,41,MRU,0.08,10.84%
7643,70,MRU,0.00,10.87%
1926,50,MRU,0.08,10.87%
11030,161,MRU,0.08,10.86%
1025,36,MRU,0.08,10.86%
2084,125,MRU,0.08,10.86%
3070,61,MRU,0.00,10.89%
10369,86,MRU,0.00,10.92%
7803,145,MRU,0.08,10.92%
4767,103,MRU,0.08,10.91%
10937,161,MRU,0.08,10.91%
4664,33,MRU,0.08,10.90%
7662,176,MRU,0.08,10.90%
12834,63,MRU,0.08,10.90%
11099,91,MRU,0.08,10.89%
11579,50,MRU,0.00,10.92%
7650,39,MRU,0.08,10.92%
782,121,MRU,0.00,10.95%
10237,117,MRU,0.08,10.95%
3667,43,MRU,0.00,10.98%
12175,156,MRU,0.00,11.01%
6493,137,MRU,0.08,11.01%
8069,70,MRU,0.08,11.00%
8137,158,MRU,0.08,11.00%
12341,37,MRU,0.08,11.00%
9715,166,MRU,0.08,10.99%
5757,129,MRU,0.08,10.99%
5530,129,MRU,0.08,10.98%
3472,30,MRU,0.00,11.02%
4566,59,MRU,0.08,11.01%
9849,73,MRU,0.08,11.01%
11406,55,MRU,0.00,11.04%
5562,129,MRU,0.08,11.04%
10998,68,MRU,0.00,11.07%
7802,145,MRU,0.08,11.06%
12557,37,MRU,0.08,11.06%
8370,39,MRU,0.08,11.06%
10572,104,MRU,0.08,11.05%
10506,29,MRU,0.08,11.05%
2979,48,MRU,0.08,11.04%
4831,121,MRU,0.08,11.04%
6140,62,MRU,0.08,11.04%
10662,55,MRU,0.08,11.03%
9439,104,MRU,0.08,11.03%
4291,77,MRU,0.08,11.02%
739,20,MRU,0.08,11.02%
12943,169,MRU,0.08,11.02%
8014,44,MRU,0.00,11.05%
5997,49,MRU,0.08,11.04%
5317,54,MRU,0.00,11.08%
8529,78,MRU,0.08,11.07%
10121,179,MRU,0.09,11.07%
3110,35,MRU,0.08,11.06%
2204,45,MRU,0.08,11.06%
8097,65,MRU,0.08,11.06%
8349,114,MRU,0.00,11.09%
8716,47,MRU,0.08,11.08%
3829,56,MRU,0.08,11.08%
7356,163,MRU,0.00,11.11%
2531,40,MRU,0.08,11.11%
6781,181,MRU,0.08,11.10%
9567,78,MRU,0.08,11.10%
7977,52,MRU,0.00,11.13%
3474,105,MRU,0.08,11.13%
9234,109,MRU,0.08,11.12%
3531,100,MRU,0.00,11.15%
5058,72,MRU,0.00,11.19%
3161,154,MRU,0.08,11.18%
3183,61,MRU,0.08,11.18%
2873,172,MRU,0.08,11.17%
7768,39,MRU,0.08,11.17%
3040,110,MRU,0.08,11.17%
3149,61,MRU,0.08,11.16%
9574,73,MRU,0.08,11.16%
10870,117,MRU,0.09,11.15%
11773,174,MRU,0.09,11.15%
5310,54,MRU,0.08,11.15%
10537,78,MRU,0.08,11.14%
151,15,MRU,0.08,11.14%
6624,93,MRU,0.00,11.17%
2840,35,MRU,0.08,11.17%
5932,142,MRU,0.08,11.16%
6666,31,MRU,0.08,11.16%
12948,50,MRU,0.08,11.15%
475,27,MRU,0.08,11.15%
8472,34,MRU,0.08,11.15%
4735,152,MRU,0.08,11.14%
10144,42,MRU,0.00,11.17%
6218,36,MRU,0.08,11.17%
2184,32,MRU,0.08,11.17%
6359,80,MRU,0.08,11.16%
696,33,MRU,0.08,11.16%
195,119,MRU,0.08,11.15%
6429,168,MRU,0.08,11.15%
11118,161,MRU,0.08,11.15%
5887,124,MRU,0.08,11.14%
12431,63,MRU,0.08,11.14%
3168,30,MRU,0.00,11.17%
5866,98,MRU,0.08,11.17%
10997,42,MRU,0.08,11.16%
8729,140,MRU,0.00,11.19%
25,23,MRU,0.08,11.19%
9486,60,MRU,0.08,11.18%
8336,127,MRU,0.08,11.18%
7576,39,MRU,0.08,11.18%
9883,166,MRU,0.08,11.17%
8648,140,MRU,0.00,11.20%
4494,77,MRU,0.00,11.23%
864,116,MRU,0.08,11.23%
5151,90,MRU,0.08,11.23%
362,19,MRU,0.08,11.22%
7187,31,MRU,0.08,11.22%
5691,173,MRU,0.08,11.21%
11996,50,MRU,0.08,11.21%
3424,105,MRU,0.09,11.21%
7642,31,MRU,0.00,11.24%
7980,52,MRU,0.08,11.23%
11787,81,MRU,0.08,11.23%
1987,94,MRU,0.08,11.23%
4441,183,MRU,0.08,11.22%
2285,32,MRU,0.08,11.22%
8152,65,MRU,0.08,11.21%
6623,168,MRU,0.08,11.21%
1477,21,MRU,0.08,11.21%
12686,55,MRU,0.08,11.20%
10368,29,MRU,0.08,11.20%
8049,70,MRU,0.00,11.23%
8934,140,MRU,0.08,11.23%
1262,39,MRU,0.00,11.26%
1728,117,MRU,0.08,11.25%
4064,51,MRU,0.08,11.25%
10064,42,MRU,0.08,11.24%
1109,18,MRU,0.08,11.24%
